"anio";"codigo";"localidad";"EDAD_EPIDEMIO";"sexo";"poblacion"
2022;"10";"10-CATAMARCA";"5.20-24";"Mujeres";17693
2022;"10";"10-CATAMARCA";"5.20-24";"Varones";18722
2022;"10";"10-CATAMARCA";"6.25-29";"Ambos sexos";35134
2022;"10";"10-CATAMARCA";"6.25-29";"Mujeres";17098
2022;"10";"10-CATAMARCA";"6.25-29";"Varones";18036
2022;"10";"10-CATAMARCA";"7.30-34";"Ambos sexos";30130
2022;"10";"10-CATAMARCA";"7.30-34";"Mujeres";14830
2022;"10";"10-CATAMARCA";"7.30-34";"Varones";15300
2022;"10";"10-CATAMARCA";"8.35-39";"Ambos sexos";27435
2022;"10";"10-CATAMARCA";"8.35-39";"Mujeres";13697
2022;"10";"10-CATAMARCA";"8.35-39";"Varones";13738
2022;"10";"10-CATAMARCA";"9.40-44";"Ambos sexos";28663
2022;"10";"10-CATAMARCA";"9.40-44";"Mujeres";14446
2022;"10";"10-CATAMARCA";"9.40-44";"Varones";14217
2022;"14";"14-CÓRDOBA";"1.0-4";"Ambos sexos";295313
2022;"14";"14-CÓRDOBA";"1.0-4";"Mujeres";143296
2022;"14";"14-CÓRDOBA";"1.0-4";"Varones";152017
2022;"14";"14-CÓRDOBA";"10.45-49";"Ambos sexos";235894
2022;"14";"14-CÓRDOBA";"10.45-49";"Mujeres";119652
2022;"14";"14-CÓRDOBA";"10.45-49";"Varones";116242
2022;"14";"14-CÓRDOBA";"11.50-54";"Ambos sexos";197700
2022;"14";"14-CÓRDOBA";"11.50-54";"Mujeres";101678
2022;"14";"14-CÓRDOBA";"11.50-54";"Varones";96022
2022;"14";"14-CÓRDOBA";"12.55-59";"Ambos sexos";181552
2022;"14";"14-CÓRDOBA";"12.55-59";"Mujeres";94370
2022;"14";"14-CÓRDOBA";"12.55-59";"Varones";87182
2022;"14";"14-CÓRDOBA";"13.60-64";"Ambos sexos";166447
2022;"14";"14-CÓRDOBA";"13.60-64";"Mujeres";88062
2022;"14";"14-CÓRDOBA";"13.60-64";"Varones";78385
2022;"14";"14-CÓRDOBA";"14.De 65 anios y mas";"Ambos sexos";487641
2022;"14";"14-CÓRDOBA";"14.De 65 anios y mas";"Mujeres";287566
2022;"14";"14-CÓRDOBA";"14.De 65 anios y mas";"Varones";200075
2022;"14";"14-CÓRDOBA";"15.TODAS LAS EDADES";"Ambos sexos";3835738
2022;"14";"14-CÓRDOBA";"15.TODAS LAS EDADES";"Mujeres";1957728
2022;"14";"14-CÓRDOBA";"15.TODAS LAS EDADES";"Varones";1878010
2022;"14";"14-CÓRDOBA";"2.5-9";"Ambos sexos";296821
2022;"14";"14-CÓRDOBA";"2.5-9";"Mujeres";144092
2022;"14";"14-CÓRDOBA";"2.5-9";"Varones";152729
2022;"14";"14-CÓRDOBA";"3.10-14";"Ambos sexos";283391
2022;"14";"14-CÓRDOBA";"3.10-14";"Mujeres";137493
2022;"14";"14-CÓRDOBA";"3.10-14";"Varones";145898
2022;"14";"14-CÓRDOBA";"4.15-19";"Ambos sexos";276085
2022;"14";"14-CÓRDOBA";"4.15-19";"Mujeres";135442
2022;"14";"14-CÓRDOBA";"4.15-19";"Varones";140643
2022;"14";"14-CÓRDOBA";"5.20-24";"Ambos sexos";290956
2022;"14";"14-CÓRDOBA";"5.20-24";"Mujeres";144232
2022;"14";"14-CÓRDOBA";"5.20-24";"Varones";146724
2022;"14";"14-CÓRDOBA";"6.25-29";"Ambos sexos";303099
2022;"14";"14-CÓRDOBA";"6.25-29";"Mujeres";150463
2022;"14";"14-CÓRDOBA";"6.25-29";"Varones";152636
2022;"14";"14-CÓRDOBA";"7.30-34";"Ambos sexos";291535
2022;"14";"14-CÓRDOBA";"7.30-34";"Mujeres";145299
2022;"14";"14-CÓRDOBA";"7.30-34";"Varones";146236
2022;"14";"14-CÓRDOBA";"8.35-39";"Ambos sexos";267955
2022;"14";"14-CÓRDOBA";"8.35-39";"Mujeres";134387
2022;"14";"14-CÓRDOBA";"8.35-39";"Varones";133568
2022;"14";"14-CÓRDOBA";"9.40-44";"Ambos sexos";261349
2022;"14";"14-CÓRDOBA";"9.40-44";"Mujeres";131696
2022;"14";"14-CÓRDOBA";"9.40-44";"Varones";129653
2022;"18";"18-CORRIENTES";"1.0-4";"Ambos sexos";100134
2022;"18";"18-CORRIENTES";"1.0-4";"Mujeres";48574
2022;"18";"18-CORRIENTES";"1.0-4";"Varones";51560
2022;"18";"18-CORRIENTES";"10.45-49";"Ambos sexos";62282
2022;"18";"18-CORRIENTES";"10.45-49";"Mujeres";32419
2022;"18";"18-CORRIENTES";"10.45-49";"Varones";29863
2022;"18";"18-CORRIENTES";"11.50-54";"Ambos sexos";54048
2022;"18";"18-CORRIENTES";"11.50-54";"Mujeres";28063
2022;"18";"18-CORRIENTES";"11.50-54";"Varones";25985
2022;"18";"18-CORRIENTES";"12.55-59";"Ambos sexos";50622
2022;"18";"18-CORRIENTES";"12.55-59";"Mujeres";26247
2022;"18";"18-CORRIENTES";"12.55-59";"Varones";24375
2022;"18";"18-CORRIENTES";"13.60-64";"Ambos sexos";46085
2022;"18";"18-CORRIENTES";"13.60-64";"Mujeres";24105
2022;"18";"18-CORRIENTES";"13.60-64";"Varones";21980
2022;"18";"18-CORRIENTES";"14.De 65 anios y mas";"Ambos sexos";117480
2022;"18";"18-CORRIENTES";"14.De 65 anios y mas";"Mujeres";65818
2022;"18";"18-CORRIENTES";"14.De 65 anios y mas";"Varones";51662
2022;"18";"18-CORRIENTES";"15.TODAS LAS EDADES";"Ambos sexos";1139604
2022;"18";"18-CORRIENTES";"15.TODAS LAS EDADES";"Mujeres";577177
2022;"18";"18-CORRIENTES";"15.TODAS LAS EDADES";"Varones";562427
2022;"18";"18-CORRIENTES";"2.5-9";"Ambos sexos";100340
2022;"18";"18-CORRIENTES";"2.5-9";"Mujeres";48633
2022;"18";"18-CORRIENTES";"2.5-9";"Varones";51707
2022;"18";"18-CORRIENTES";"3.10-14";"Ambos sexos";96120
2022;"18";"18-CORRIENTES";"3.10-14";"Mujeres";46398
2022;"18";"18-CORRIENTES";"3.10-14";"Varones";49722
2022;"18";"18-CORRIENTES";"4.15-19";"Ambos sexos";89443
2022;"18";"18-CORRIENTES";"4.15-19";"Mujeres";43556
2022;"18";"18-CORRIENTES";"4.15-19";"Varones";45887
2022;"18";"18-CORRIENTES";"5.20-24";"Ambos sexos";97360
2022;"18";"18-CORRIENTES";"5.20-24";"Mujeres";47925
2022;"18";"18-CORRIENTES";"5.20-24";"Varones";49435
2022;"18";"18-CORRIENTES";"6.25-29";"Ambos sexos";100026
2022;"18";"18-CORRIENTES";"6.25-29";"Mujeres";49738
2022;"18";"18-CORRIENTES";"6.25-29";"Varones";50288
2022;"18";"18-CORRIENTES";"7.30-34";"Ambos sexos";85338
2022;"18";"18-CORRIENTES";"7.30-34";"Mujeres";43336
2022;"18";"18-CORRIENTES";"7.30-34";"Varones";42002
2022;"18";"18-CORRIENTES";"8.35-39";"Ambos sexos";71713
2022;"18";"18-CORRIENTES";"8.35-39";"Mujeres";36907
